Description,Year,Bank, Amount ,Type
Interest Income,2018,KCB," 66,280.00 ",Income Statement
Total Interest Expense,2018,KCB," 17,450.00 ",Income Statement
Net Interest Income,2018,KCB," 48,830.00 ",Income Statement
Non-Interest Income,2018,KCB," 23,802.00 ",Income Statement
Non-Interest Expense,2018,KCB," 34,931.00 ",Income Statement
Operating Income,2018,KCB," 34,357.00 ",Income Statement
Income Taxes,2018,KCB," 9,864.00 ",Income Statement
Consolidated Net Income,2018,KCB," 23,995.00 ",Income Statement
Basic Shares Outstanding,2018,KCB," 3,066.00 ",Income Statement
Diluted Shares Outstanding,2018,KCB," 3,066.00 ",Income Statement
Interest Income,2019,KCB," 79,644.00 ",Income Statement
Total Interest Expense,2019,KCB," 18,684.00 ",Income Statement
Net Interest Income,2019,KCB," 60,960.00 ",Income Statement
Non-Interest Income,2019,KCB," 23,811.00 ",Income Statement
Non-Interest Expense,2019,KCB," 44,068.00 ",Income Statement
Operating Income,2019,KCB," 36,739.00 ",Income Statement
Income Taxes,2019,KCB," 11,732.00 ",Income Statement
Consolidated Net Income,2019,KCB," 25,165.00 ",Income Statement
Basic Shares Outstanding,2019,KCB," 3,213.00 ",Income Statement
Diluted Shares Outstanding,2019,KCB," 3,213.00 ",Income Statement
Interest Income,2020,KCB," 96,261.00 ",Income Statement
Total Interest Expense,2020,KCB," 21,209.00 ",Income Statement
Net Interest Income,2020,KCB," 75,052.00 ",Income Statement
Non-Interest Income,2020,KCB," 21,144.00 ",Income Statement
Non-Interest Expense,2020,KCB," 43,066.00 ",Income Statement
Operating Income,2020,KCB," 25,621.00 ",Income Statement
Income Taxes,2020,KCB," 6,115.00 ",Income Statement
Consolidated Net Income,2020,KCB," 19,604.00 ",Income Statement
Basic Shares Outstanding,2020,KCB," 3,213.00 ",Income Statement
Diluted Shares Outstanding,2020,KCB," 3,213.00 ",Income Statement
Interest Income,2021,KCB," 114,826.00 ",Income Statement
Total Interest Expense,2021,KCB," 24,463.00 ",Income Statement
Net Interest Income,2021,KCB," 90,363.00 ",Income Statement
Non-Interest Income,2021,KCB," 19,780.00 ",Income Statement
Non-Interest Expense,2021,KCB," 49,295.00 ",Income Statement
Operating Income,2021,KCB," 46,850.00 ",Income Statement
Income Taxes,2021,KCB," 13,642.00 ",Income Statement
Consolidated Net Income,2021,KCB," 34,173.00 ",Income Statement
Basic Shares Outstanding,2021,KCB," 3,213.00 ",Income Statement
Diluted Shares Outstanding,2021,KCB," 3,213.00 ",Income Statement
Interest Income,2022,KCB," 132,003.00 ",Income Statement
Total Interest Expense,2022,KCB," 31,098.00 ",Income Statement
Net Interest Income,2022,KCB," 100,905.00 ",Income Statement
Non-Interest Income,2022,KCB," 30,133.00 ",Income Statement
Non-Interest Expense,2022,KCB," 63,716.00 ",Income Statement
Operating Income,2022,KCB," 57,022.00 ",Income Statement
Income Taxes,2022,KCB," 16,494.00 ",Income Statement
